№,Код АТЕ,Код ОО,Наименование образовательной организации согласно Уставу образовательной организации ,Сокращенное наименование образовательной организации согласно Уставу образовательной организации  ,
69,204,204221,Муниципальное бюджетное дошкольное образовательное учреждение «Детский сад с.Стригай Базарно-Карабулакского муниципального района Саратовской области»,МБДОУ «Детский сад с.Стригай»,
70,204,204231,Муниципальное бюджетное дошкольное образовательное учреждение  «Детский сад с. Максимовка Базарно-Карабулакского муниципального района Саратовской области»,"МБДОУ «Детский сад 
с. Максимовка»",
71,204,204241,Муниципальное бюджетное дошкольное образовательное учреждение  «Детский сад с.Лесная Нееловка Базарно-Карабулакского муниципального района Саратовской области»,МБДОУ «Детский сад с.Лесная Нееловка»,
72,204,204251,Муниципальное бюджетное дошкольное образовательное учреждение «Детский сад «Родничок» с. Большая Чечуйка Базарно-Карабулакского муниципального района Саратовской области»,"МБДОУ «Детский сад «Родничок» 
с. Большая Чечуйка»",
73,204,204261,Муниципальное бюджетное дошкольное образовательное учреждение «Детский сад «Колосок» с.Хватовка Базарно-Карабулакского муниципального района Саратовской области»,МБДОУ «Детский сад «Колосок» с.Хватовка»,
74,204,204281,Муниципальное бюджетное дошкольное образовательное учреждение «Центр развития ребенка – детский сад с.Старые Бурасы Базарно-Карабулакского муниципального района Саратовской области»,МБДОУ «Центр развития ребёнка - детский сад с.Старые Бурасы»,
75,204,204013,Муниципальное бюджетное общеобразовательное учреждение «Средняя общеобразовательная школа №1 р.п. Базарный Карабулак Саратовской области»,МБОУ «СОШ №1 р.п. Базарный Карабулак Саратовской области»,
76,204,204023,Муниципальное бюджетное общеобразовательное учреждение «Средняя общеобразовательная школа №2 р.п. Базарный Карабулак Саратовской области»,МБОУ «СОШ №2 р.п. Базарный Карабулак Саратовской области»,
77,204,204033,муниципальное автономное общеобразовательное учреждение «Средняя общеобразовательная школа р.п.Свободный Базарно-Карабулакского муниципального района Саратовской области»,МАОУ «СОШ р.п.Свободный Базарно-Карабулакского муниципального района Саратовской области»,
78,204,204193,муниципальное бюджетное общеобразовательное учреждение «Средняя общеобразовательная школа с.Яковлевка Базарно-Карабулакского муниципального района Саратовской области»,МБОУ «СОШ с.Яковлевка»,
79,205,205000,Комитет образования администрации Балаковского муниципального района,Комитет образования АБМР,
80,205,205010,Муниципальное автономное учреждение дополнительного образования «Центр дополнительного образования» г. Балаково Саратовской области,МАУДО ЦДО,
