№,Код АТЕ,Код ОО,Наименование образовательной организации согласно Уставу образовательной организации ,Сокращенное наименование образовательной организации согласно Уставу образовательной организации  ,
32,202,202093,Муниципальное бюджетное общеобразовательное учреждение - средняя общеобразовательная школа с. Новосельское Аркадакского района Саратовской области,МБОУ-СОШ с. Новосельское,
33,202,202103,Муниципальное бюджетное общеобразовательное учреждение - средняя общеобразовательная школа с.Ольшанка Аркадакского района Саратовской области,МБОУ-СОШ с.Ольшанка Аркадакского района Саратовской области,
34,202,202113,Муниципальное бюджетное общеобразовательное учреждение - средняя общеобразовательная школа села Росташи Аркадакского района Саратовской области,МБОУ-СОШ с. Росташи Аркадакского района Саратовской области,
35,202,202133,Муниципальное бюджетное общеобразовательное учреждение «Средняя общеобразовательная школа с. Семеновка» Аркадакского района Саратовской области,МБОУ «СОШ с. Семеновка» Аркадакского района Саратовской области,
36,203,203000,Управление образования администрации Аткарского муниципального района,УО администрации Аткарского МР,
37,203,203010,Муниципальное автономное учреждение «Спортивная школа г. Аткарска Саратовской области»,"МАУ «Спортивная школа 
г. Аткарска Саратовской области»",
38,203,203020,Муниципальное автономное учреждение дополнительного образования «Центр детского творчества города Аткарска Саратовской области»,МАУ ДО ЦДТ,
39,203,203040,Муниципальное автономное учреждение дополнительного образования «Детская школа искусств» Аткарского муниципального района Саратовской области,МАУ ДО «ДШИ» ,
40,203,203013,Муниципальное общеобразовательное учреждение - средняя общеобразовательная школа № 1 имени 397-й Сарненской дивизии города Аткарска Саратовской области,МОУ - СОШ №1 г. Аткарска ,
41,203,203033,Муниципальное общеобразовательное учреждение - средняя общеобразовательная школа № 3 города Аткарска Саратовской области имени Героя Советского Союза Антонова Владимира Семеновича,МОУ-СОШ №3 г. Аткарска,
42,203,203053,Муниципальное общеобразовательное учреждение - средняя общеобразовательная школа № 8 города Аткарска Саратовской области,МОУ-СОШ № 8 города Аткарска Саратовской области,
43,203,203063,Муниципальное общеобразовательное учреждение - средняя общеобразовательная школа № 9 города Аткарска Саратовской области,МОУ - СОШ № 9 г. Аткарска Саратовской области,
44,203,203073,Муниципальное общеобразовательное учреждение - средняя общеобразовательная школа № 10 города Аткарска Саратовской области,МОУ-СОШ № 10 г. Аткарска Саратовской области,
45,203,203303,Муниципальное общеобразовательное учреждение - средняя общеобразовательная школа №2 города Аткарска Саратовской области,МОУ- СОШ №2 г. Аткарска Саратовской области,
46,203,203313,Муниципальное общеобразовательное учреждение - средняя общеобразовательная школа №6 города Аткарска Саратовской области,МОУ- СОШ №6 г. Аткарска Саратовской области,
47,204,204000,Управление образования администрации Базарно-Карабулакского муниципального района Саратовской области,Управление образования ,
48,204,204010,муниципальное автономное учреждение дополнительного образования «Детско-юношеская спортивная школа» р.п. Базарный  Карабулак Базарно-Карабулакского муниципального района Саратовской области,"МАУ ДО «ДЮСШ» 
р.п. Базарный Карабулак",
49,204,204020,Муниципальное бюджетное учреждение дополнительного образования  «Базарнокарабулакская детская школа искусств»,МБУДО «Базарнокарабулакская ДШИ»,
50,204,204030,Муниципальное бюджетное учреждение дополнительного образования «Дом детского творчества Базарно-Карабулакского муниципального района Саратовской области»,МБУДО ДДТ,
51,204,204011,Муниципальное бюджетное дошкольное образовательное учреждение «Детский сад №1 «Теремок» р.п. Базарный Карабулак Саратовской области»,"МБДОУ «Детский сад №1 «Теремок»
р.п. Базарный Карабулак»",
52,204,204021,Муниципальное бюджетное дошкольное образовательное учреждение «Детский сад №2 «Светлячок» р.п. Базарный Карабулак Саратовской области»,"МБДОУ «Детский сад №2 «Светлячок» 
р.п. Базарный Карабулак»",
53,204,204031,Муниципальное бюджетное дошкольное образовательное учреждение «Детский сад №5 «Радость» р.п. Базарный Карабулак Саратовской области»,"МБДОУ «Детский сад №5 «Радость» 
р.п. Базарный Карабулак»",
54,204,204041,Муниципальное автономное дошкольное образовательное учреждение  «Детский сад «Радуга» р.п.Базарный Карабулак Саратовской области»,"МАДОУ «Детский сад «Радуга»
р.п.Базарный Карабулак»",
55,204,204051,Муниципальное бюджетное дошкольное образовательное учреждение «Детский сад с.Алексеевка Базарно-Карабулакского муниципального района Саратовской области»,МБДОУ «Детский сад с.Алексеевка»,
56,204,204061,Муниципальное бюджетное дошкольное образовательное учреждение «Детский сад с.Ивановка Базарно-Карабулакского муниципального района Саратовской области»,МБДОУ «Детский сад с. Ивановка»,
57,204,204071,Муниципальное бюджетное дошкольное образовательное учреждение «Детский сад с. Вязовка Базарно-Карабулакского муниципального района Саратовской области»,МБДОУ «Детский сад с. Вязовка»,
58,204,204081,Муниципальное бюджетное дошкольное образовательное учреждение «Детский сад с. Казанла Базарно-Карабулакского муниципального района Саратовской области»,МБДОУ «Детский сад с. Казанла»,
59,204,204091,Муниципальное бюджетное дошкольное образовательное учреждение  «Детский сад с.Березовка Базарно-Карабулакского муниципального района Саратовской области»,МБДОУ «Детский сад с.Березовка»,
60,204,204101,Муниципальное бюджетное дошкольное образовательное учреждение «Детский сад р.п.Свободный Базарно-Карабулакского муниципального района Саратовской области»,МБДОУ «Детский сад р.п.Свободный»,
61,204,204131,Муниципальное бюджетное дошкольное образовательное учреждение «Детский сад с.Сухой Карабулак Базарно-Карабулакского муниципального района Саратовской области»,МБДОУ «Детский сад с.Сухой Карабулак»,
62,204,204141,Муниципальное бюджетное дошкольное образовательное учреждение «Детский сад с.Ключи Базарно-Карабулакского муниципального района Саратовской области»,МБДОУ «Детский сад с.Ключи»,
63,204,204151,Муниципальное бюджетное дошкольное образовательное учреждение «Детский сад с.Тепляковка Базарно-Карабулакского муниципального района Саратовской области»,МБДОУ «Детский сад с.Тепляковка»,
64,204,204161,Муниципальное бюджетное дошкольное образовательное учреждение «Детский сад с. Большая Гусиха Базарно-Карабулакского муниципального района Саратовской области»,МБДОУ «Детский сад с. Большая Гусиха»,
65,204,204171,Муниципальное бюджетное дошкольное образовательное учреждение «Детский сад с. Шняево Базарно-Карабулакского муниципального района Саратовской области»,МБДОУ «Детский сад с. Шняево»,
66,204,204181,Муниципальное бюджетное дошкольное образовательное учреждение «Детский сад с. Первая Ханенёвка Базарно-Карабулакского муниципального района Саратовской области»,МБДОУ «Детский сад с. Первая Ханенёвка»,
67,204,204191,Муниципальное бюджетное дошкольное образовательное учреждение «Детский сад с.Старая Жуковка Базарно-Карабулакского муниципального района Саратовской области»,МБДОУ «Детский сад с.Старая Жуковка»,
68,204,204201,Муниципальное бюджетное дошкольное образовательное учреждение «Детский сад с.Яковлевка Базарно-Карабулакского муниципального района Саратовской области»,МБДОУ «Детский сад с.Яковлевка»,
